visit_id,store_id,perturbation,R_base_baseline,R_base_perturbed,R_base_swing_pct,R_inv_baseline,R_inv_perturbed,R_inv_swing_pct,triangulation_ratio_baseline,triangulation_ratio_perturbed,triangulation_status_flipped
MART01_4222026_60000PM,MART01,basket_weight_owner_heavy,232772.57142857145,252610.2857142857,8.522359040829542,101666.66666666667,101666.66666666667,,0.4367639453511132,0.4024644775615215,False
MART01_4232026_121500PM,MART01,basket_weight_owner_heavy,221461.33333333334,244085.3333333333,10.215778826702616,101666.66666666667,101666.66666666667,,0.4590718620556786,0.4165209981208758,False
MART02_4232026_23000PM,MART02,basket_weight_owner_heavy,100608.0,111072.0,10.400763358778626,92500.0,92500.0,,0.9194099872773537,0.8327931431864016,False
KIR02_4232026_80000PM,KIR02,basket_weight_owner_heavy,161609.14285714284,183168.0,13.34012219959268,220000.0,220000.0,,1.3613091197103417,1.2010831586303286,False
KIR01_4232026_63000PM,KIR01,basket_weight_owner_heavy,123325.71428571428,137217.14285714287,11.26401630988789,119333.33333333334,119333.33333333334,,0.967627343774133,0.8696678188203611,False
PAN01_4232026_50000PM,PAN01,basket_weight_owner_heavy,64450.285714285725,71938.28571428572,11.618257261410786,76666.66666666667,76666.66666666667,,1.1895473513730774,1.0657282962115675,False
PAN02_4242026_93000AM,PAN02,basket_weight_owner_heavy,32832.0,32687.999999999996,-0.43859649122808125,40000.0,40000.0,,1.2183235867446394,1.2236906510034264,False
MART03_4242026_60000PM,MART03,basket_weight_owner_heavy,264880.0,293920.0,10.96345514950166,147833.33333333334,147833.33333333334,,0.5581143662539012,0.5029713300671385,False
KIR03_4222026_30000PM,KIR03,basket_weight_owner_heavy,213942.85714285713,238628.57142857142,11.53846153846154,206666.6666666667,206666.6666666667,,0.9659900284900287,0.8660600255427843,False
PAN03_4222026_70000PM,PAN03,basket_weight_owner_heavy,43003.42857142857,44002.285714285725,2.32273838630809,55833.333333333336,55833.333333333336,,1.2983460897912902,1.2688734784340205,False
MART04_4222026_100000AM,MART04,basket_weight_owner_heavy,86847.99999999999,88565.33333333333,1.9774011299435144,82833.33333333334,82833.33333333334,,0.9537736428395974,0.9352794170781646,False
MART01_4222026_60000PM,MART01,basket_weight_observation_heavy,232772.57142857145,212934.85714285716,-8.522359040829555,101666.66666666667,101666.66666666667,,0.4367639453511132,0.4774543164553791,False
MART01_4232026_121500PM,MART01,basket_weight_observation_heavy,221461.33333333334,198837.33333333334,-10.215778826702628,101666.66666666667,101666.66666666667,,0.4590718620556786,0.5113057239418486,False
MART02_4232026_23000PM,MART02,basket_weight_observation_heavy,100608.0,90144.0,-10.400763358778626,92500.0,92500.0,,0.9194099872773537,1.0261359602413915,False
KIR02_4232026_80000PM,KIR02,basket_weight_observation_heavy,161609.14285714284,140050.2857142857,-13.34012219959266,220000.0,220000.0,,1.3613091197103417,1.5708643426034732,True
KIR01_4232026_63000PM,KIR01,basket_weight_observation_heavy,123325.71428571428,109434.28571428572,-11.264016309887854,119333.33333333334,119333.33333333334,,0.967627343774133,1.0904565470906653,False
PAN01_4232026_50000PM,PAN01,basket_weight_observation_heavy,64450.285714285725,56962.285714285725,-11.618257261410786,76666.66666666667,76666.66666666667,,1.1895473513730774,1.34591977314982,False
PAN02_4242026_93000AM,PAN02,basket_weight_observation_heavy,32832.0,32976.0,0.43859649122807015,40000.0,40000.0,,1.2183235867446394,1.21300339640951,False
MART03_4242026_60000PM,MART03,basket_weight_observation_heavy,264880.0,235840.0,-10.96345514950166,147833.33333333334,147833.33333333334,,0.5581143662539012,0.6268374038896427,False
KIR03_4222026_30000PM,KIR03,basket_weight_observation_heavy,213942.85714285713,189257.14285714284,-11.53846153846154,206666.6666666667,206666.6666666667,,0.9659900284900287,1.0919887278582934,False
PAN03_4222026_70000PM,PAN03,basket_weight_observation_heavy,43003.42857142857,42004.571428571435,-2.3227383863080564,55833.333333333336,55833.333333333336,,1.2983460897912902,1.3292204023144871,False
MART04_4222026_100000AM,MART04,basket_weight_observation_heavy,86847.99999999999,85130.66666666666,-1.9774011299434975,82833.33333333334,82833.33333333334,,0.9537736428395974,0.9730140333291569,False
